epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_mAP,lr
66,0.594714,0.9440,0.810759,0.9487,0.9443,0.9544,0.9481,0.9004,0.00273077
67,0.591568,0.9409,0.822800,0.9408,0.9308,0.9455,0.9371,0.8801,0.00259197
68,0.596368,0.9409,0.809530,0.9500,0.9364,0.9542,0.9434,0.8924,0.00245555
69,0.599536,0.9398,0.806053,0.9461,0.9393,0.9505,0.9439,0.8926,0.00232163
70,0.568326,0.9447,0.812462,0.9447,0.9362,0.9507,0.9416,0.8888,0.00219036
71,0.592640,0.9489,0.802038,0.9487,0.9380,0.9528,0.9434,0.8925,0.00206187
72,0.559842,0.9592,0.808494,0.9395,0.9340,0.9436,0.9361,0.8793,0.00193627
73,0.578013,0.9451,0.810308,0.9447,0.9417,0.9491,0.9433,0.8925,0.00181370
74,0.541365,0.9516,0.809004,0.9461,0.9427,0.9505,0.9448,0.8949,0.00169427
75,0.608754,0.9474,0.815652,0.9421,0.9423,0.9453,0.9421,0.8902,0.00157811
76,0.560052,0.9482,0.803617,0.9395,0.9366,0.9420,0.9375,0.8813,0.00146532
77,0.564029,0.9562,0.788105,0.9579,0.9561,0.9609,0.9576,0.9183,0.00135602
78,0.571116,0.9527,0.796229,0.9539,0.9530,0.9578,0.9541,0.9122,0.00125032
79,0.564154,0.9524,0.795071,0.9421,0.9368,0.9464,0.9405,0.8863,0.00114832
80,0.566528,0.9459,0.797662,0.9447,0.9400,0.9491,0.9431,0.8915,0.00105012
81,0.572797,0.9524,0.793866,0.9487,0.9379,0.9528,0.9434,0.8926,0.00095582
82,0.555768,0.9489,0.795988,0.9526,0.9448,0.9575,0.9494,0.9037,0.00086551
83,0.572730,0.9539,0.798119,0.9474,0.9424,0.9525,0.9461,0.8970,0.00077928
84,0.558950,0.9646,0.792793,0.9513,0.9491,0.9566,0.9518,0.9076,0.00069722
85,0.555002,0.9558,0.789434,0.9539,0.9491,0.9583,0.9524,0.9088,0.00061940
86,0.560715,0.9562,0.791173,0.9526,0.9443,0.9564,0.9488,0.9024,0.00054591
87,0.555131,0.9588,0.793916,0.9461,0.9354,0.9500,0.9406,0.8875,0.00047682
88,0.552062,0.9543,0.792723,0.9513,0.9432,0.9561,0.9480,0.9008,0.00041219
89,0.541799,0.9607,0.790690,0.9526,0.9450,0.9575,0.9496,0.9039,0.00035208
90,0.546695,0.9592,0.790911,0.9487,0.9473,0.9522,0.9484,0.9014,0.00029657
91,0.549283,0.9642,0.793981,0.9461,0.9388,0.9505,0.9426,0.8911,0.00024569
92,0.549630,0.9642,0.787364,0.9487,0.9407,0.9528,0.9450,0.8954,0.00019951
